Time,SSC_25cm(kg/m3),depth
2014/9/25 9:28,0.8,0.35
2014/9/25 9:30,0.66,0.39
2014/9/25 9:32,0.49,0.42
2014/9/25 9:34,0.38,0.47
2014/9/25 9:36,0.38,0.51
2014/9/25 9:38,0.3,0.56
2014/9/25 9:40,0.27,0.6
2014/9/25 9:42,0.26,0.65
2014/9/25 9:44,0.22,0.7
2014/9/25 9:46,0.26,0.75
2014/9/25 9:48,0.26,0.8
2014/9/25 9:50,0.3,0.84
2014/9/25 9:52,0.3,0.9
2014/9/25 9:54,0.38,0.95
2014/9/25 9:56,0.38,1.01
2014/9/25 9:58,0.38,1.06
2014/9/25 10:00,0.38,1.11
2014/9/25 10:02,0.49,1.17
2014/9/25 10:04,0.38,1.23
2014/9/25 10:06,0.49,1.28
2014/9/25 10:08,0.49,1.33
2014/9/25 10:10,0.49,1.38
2014/9/25 10:12,0.38,1.43
2014/9/25 10:14,0.38,1.47
2014/9/25 10:16,0.38,1.52
2014/9/25 10:18,0.38,1.57
2014/9/25 10:20,0.38,1.62
2014/9/25 10:22,0.3,1.66
2014/9/25 10:24,0.3,1.7
2014/9/25 10:26,0.3,1.74
2014/9/25 10:28,0.3,1.79
2014/9/25 10:30,0.3,1.83
2014/9/25 10:32,0.26,1.87
2014/9/25 10:34,0.27,1.9
2014/9/25 10:36,0.27,1.93
2014/9/25 10:38,0.3,1.97
2014/9/25 10:40,0.26,2
2014/9/25 10:42,0.26,2.03
2014/9/25 10:44,0.27,2.07
2014/9/25 10:46,0.26,2.11
2014/9/25 10:48,0.26,2.14
2014/9/25 10:50,0.26,2.17
2014/9/25 10:52,0.22,2.2
2014/9/25 10:54,0.22,2.23
2014/9/25 10:56,0.27,2.26
2014/9/25 10:58,0.26,2.28
2014/9/25 11:00,0.27,2.31
2014/9/25 11:02,0.26,2.34
2014/9/25 11:04,0.26,2.36
2014/9/25 11:06,0.26,2.39
2014/9/25 11:08,0.22,2.42
2014/9/25 11:10,0.22,2.44
2014/9/25 11:12,0.22,2.46
2014/9/25 11:14,0.22,2.48
2014/9/25 11:16,0.17,2.51
2014/9/25 11:18,0.17,2.53
2014/9/25 11:20,0.17,2.54
2014/9/25 11:22,0.17,2.57
2014/9/25 11:24,0.17,2.59
2014/9/25 11:26,0.17,2.6
2014/9/25 11:28,0.17,2.63
2014/9/25 11:30,0.17,2.65
2014/9/25 11:32,0.17,2.67
2014/9/25 11:34,0.17,2.68
2014/9/25 11:36,0.17,2.7
2014/9/25 11:38,0.17,2.71
2014/9/25 11:40,0.17,2.73
2014/9/25 11:42,0.12,2.75
2014/9/25 11:44,0.12,2.77
2014/9/25 11:46,0.12,2.79
